Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Availability,Category,Gender,Size,Design,Link
3 Piece Printed Cotail Viscose Suit with Cotail Viscose Dupatta,        Printed Cotail viscose Dupatta| Printed Cotail viscose Shirt 3.12 Meters| Dyed Cotail viscose Trouser    ,Linen,Black,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-cotail-viscose-suit-with-cotail-viscose-dupatta
3 Piece Printed Twill Viscose Suit with Twill Viscose Dupatta,        Printed Twill Viscose Dupatta | Printed Twill viscose shirt 2.5 Meters| Printed Twill Viscose Extra sleeves| Dyed Twill Viscose Trouser    ,Linen,Orange,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-twill-viscose-suit-with-twill-viscose-dupatta-21493
3 Piece Embroidered Twill Viscose Suit with Twill Viscose Dupatta,Printed Twill Viscose Dupatta| Printed Twill Viscose Shirt 3.12 Meters| Embroidered Neckline on Shirt| Dyed Twill Viscose Trouser ,Linen,Black,PKR 4000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-twill-viscose-suit-with-twill-viscose-dupatta
3 Piece Printed Twill Viscose Suit with Twill Viscose Dupatta,        Printed Twill Viscose Dupatta | Printed Twill viscose shirt 2.5 Meters| Printed Twill Viscose Extra sleeves| Dyed Twill Viscose Trouser    ,Linen,Grey,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-twill-viscose-suit-with-twill-viscose-dupatta-21491
3 Piece Printed Twill Viscose Suit with Twill Viscose Dupatta,        Printed Twill Viscose Dupatta | Printed Twill viscose shirt 2.5 Meters| Printed Twill Viscose Extra sleeves| Dyed Twill Viscose Trouser    ,Linen,Blue,PKR 3400 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-twill-viscose-suit-with-twill-viscose-dupatta-21490
3 Piece Embroidered Twill Viscose Suit with Printed Shawl,        Printed Shawl| Printed Twill Viscose Shirt 3.12 Meters| Embroidery on sleeves| Dyed Twill Viscose Trouser    ,Linen,Blue,PKR 6000 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Embroidered,https://www.alkaramstudio.com/3-piece-embroidered-twill-viscose-suit-with-printed-shawl
3 Piece Printed Khaddar Suit with Printed Shawl,        Printed Shawl| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Orange,PKR 5500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-printed-shawl-21489
3 Piece Printed Khaddar Suit with Printed Shawl,        Printed Shawl| Printed Khaddar Shirt 3.12 Meters| Dyed Khaddar Trouser    ,Khaddar,Grey,PKR 5500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-khaddar-suit-with-printed-shawl-21488
3 Piece Printed Twill Viscose Suit with Printed Shawl,        Printed Shawl| Printed Twill Viscose Shirt 3.12 Meters| Dyed Twill Viscose Trouser    ,Linen,Maroon,PKR 5500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-twill-viscose-suit-with-printed-shawl-21463
3 Piece Printed Twill Viscose Suit with Printed Shawl,        Printed Shawl| Printed Twill Viscose Shirt 3.12 Meters| Dyed Twill Viscose Trouser    ,Linen,Green,PKR 5500 ,-,-,3 Piece,In stock,Unstitched,Women,8.13,Printed,https://www.alkaramstudio.com/3-piece-printed-twill-viscose-suit-with-printed-shawl
