,Name,Description,Old Price,New Price,Discount,Size(s)
108,Blue CL-640 (Box),"Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters
Printed Bottom – 1.75 meters","PKR 3,980","PKR 2,786",30,
109,Light Green & Pink CL-639 B (Box),"Printed Dupatta – 2.5 meters
Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters","PKR 4,195","PKR 2,937",30,
110,Pink & Purple CL-639 A (Box),"Printed Dupatta – 2.5 meters
Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters","PKR 4,195","PKR 2,937",30,
111,Light Purple CL-644 B,"Printed Dupatta – 2.5 meters
Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters","PKR 3,820","PKR 2,674",30,
112,Off White CL-643,"Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters
Dyed Bottom – 1.75 meters","PKR 3,390","PKR 2,373",30,
113,Yellow CL-642,"Printed Rotary Dupatta – 2.5 meters
Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters","PKR 3,820","PKR 2,674",30,
114,Blue & Dark Brown CL-641,"Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters
Printed bottom – 1.75 meters","PKR 3,605","PKR 2,524",30,
115,Blue CL-640,"Printed Shirt – 1.75 meters
Printed Shirt – 1.75 meters
Printed Bottom – 1.75 meters","PKR 3,605","PKR 2,524",30,
116,Light Pink FE-234,"Cotton Printed Embroidered Dupatta – 2.5 meters
Cotton Printed Shirt – 1.75 meters
Cotton Printed Bottom – 1.75 meters
Polyester Embroidered Lace","PKR 6,990","PKR 4,194",40,
117,Off White FE-222,"Zari Jacquard Dupatta – 2.5 meters
Dobby Stripe Shirt – 2.76 meters
Dyed Inner
Cotton Dyed Bottom – 2.5 meters
Pearl Lace for Neckline & Tassel Lace","PKR 8,065","PKR 4,839",40,
118,1 PC Lawn Shirt SL-678,Cotton Printed Shirt – 1.75 meters,"PKR 1,290",PKR 903,30,
119,1 PC Lawn Shirt SL-673,Cotton Printed Shirt – 1.75 meters,"PKR 1,290",PKR 903,30,
120,1 PC Lawn Shirt SL-666,Cotton Printed Shirt – 1.75 meters,"PKR 1,290",PKR 903,30,
121,1 PC Lawn Shirt SL-663,Cotton Printed Shirt – 1.75 meters,"PKR 1,290",PKR 774,40,
122,1 PC Lawn Shirt SL-661,Cotton Printed Shirt – 1.75 meters,"PKR 1,290",PKR 903,30,
123,1 PC Lawn Shirt SL-659,Cotton Printed Shirt – 1.75 meters,"PKR 1,290",PKR 903,30,
124,1 PC Lawn Shirt SL-658,Cotton Printed Shirt – 1.75 meters,"PKR 1,290",PKR 774,40,
125,3 PC SS-173,"Printed 100% Pure Silk Dupatta - 2.5 meters
Embroidered Neckline
Printed Shirt - 1.75 meters
Dyed Bottom - 1.75 meters","PKR 6,670","PKR 4,336",35,
126,3 PC SS-169,"Digital Printed 100% Pure Silk Dupatta - 2.5 meters
Digital Printed Shirt & Embroidered Lace - 1.75 meters
Dyed Bottom - 1.75 meters","PKR 6,455","PKR 4,196",35,
127,3 PC SS-167,"Pure Silk Dupatta - 2.5 meters
Printed Shirt - 1.75 meters
Dyed Bottom - 1.75 meters","PKR 6,455","PKR 4,196",35,
128,3 PC PM-258,"Embroidered Net Dupatta with Diamantes - 2.5 meters
Embroidered Front & Sleeves, Dyed Back - 2 meters
Dyed Bottom - 1.75 meters","PKR 9,680","PKR 5,808",40,
129,3 PC LSV-18,"Embroidered Swiss Voile Dupatta - 2.5 meters
Embroidered Swiss Voile Front, Back & Sleeves - 3 meters
Dyed Inner & Bottom - 1.75 meters","PKR 9,680","PKR 6,292",35,
130,3 PC LSV-17,"Embroidered Swiss Voile Dupatta - 2.5 meters
Embroidered Swiss Voile Front, Back & Sleeves - 2.76 meters
Embroidered Swiss Voile Laces
Dyed Inner & Bottom - 1.75 meters","PKR 9,140","PKR 5,484",40,
131,3 PC LSV-16,"Embroidered Chiffon Dupatta with Sequins - 2.5 meters
Embroidered Swiss Voile Front & Sleeves, Dyed Swiss Voile Back - 3.13 meters
Embroidered Swiss Voile Laces with Sequins
Dyed Inner & Bottom - 1.75 meters","PKR 12,370","PKR 8,041",35,
132,3 PC LSV-14,"Embroidered 100% Pure Chiffon Dupatta with Croatia Lace & Tassels - 2.5 meters
Embroidered Swiss Voile Front & Sleeves, Dyed Swiss Voile Back - 3.13 meters
Embroidered Swiss Voile Laces
Dyed Inner & Embroidered Bottom - 1.65 meters","PKR 12,905","PKR 8,389",35,
133,3 PC LSV-04,"Printed Dobby Dupatta with Croatia Lace - 2.5 meters
Embroidered Swiss Voile Front & Sleeves - 3.13 meters
Dyed Swiss Voile Back 
Embroidered Swiss Voile Laces
Croatia Lace for Shirt
Buttons
Dyed Inner & Bottom - 1.75 meters","PKR 8,605","PKR 5,163",40,
134,3 PC C-524,"100% Pure Chiffon Printed Dupatta - 2.5 meters
Printed Embroidered Front & Printed Back - 1.825 meters
Printed Sleeves & Dyed Bottom - 1.75 meters","PKR 6,990","PKR 4,544",35,
135,3 PC C-509,"Digital Printed 100% Pure Chiffon Dupatta - 2.5 meters
Embroidered Lace
Printed Shirt - 1.75 meters
Printed Bottom - 1.75 meters","PKR 7,530","PKR 4,895",35,
136,3 PC BM-116,"Lacquer Printed Chiffon Dupatta - 2.5 meters
Embroidered Dobby Front - 1.75 meters
Sleeves with Zari & Sequins
Embroidered Border, Embroidered Neckline with Zari
Dyed Dobby Back, Dyed Bottom - 1.75 meters","PKR 6,455","PKR 4,196",35,
137,3 PC BM-105,"Digital Printed Chiffon Dupatta - 2.5 meters
Printed Shirt, Embroidered Motif - 3 meters
Embroidered Border
Dyed Bottom - 1.75 meters","PKR 5,915","PKR 3,845",35,
138,3 PC BM-104,"Digital Printed Chiffon Dupatta - 2.5 meters
Digital Printed Shirt - 3 meters
Embroidered Motifs for Sleeves
Dyed Bottom - 1.75 meters","PKR 5,915","PKR 3,549",40,
139,3 PC BM-91,"Digital Printed Chiffon Dupatta - 2.5 meters
Lacquer Printed Shirt with Embroidered Front & Dyed Bottom - 3.57 meters","PKR 5,915","PKR 3,845",35,
140,3 PC BM-73,"Printed Chiffon Dupatta - 2.5 meters
Printed Jacquard Front, Printed Back & Sleeves - 2.5 meters
Embroidered Border for Sleeves
Dyed Bottom - 1.75 meters","PKR 6,990","PKR 4,544",35,
141,3 PC BLC-16,"Printed Chiffon Dupatta - 2.5 meters
Silk Linen Shirt & Dyed Bottom - 4.25 meters","PKR 6,240","PKR 4,056",35,
