,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,All Sizes,Extra Detail
36,Melange Olive,"Plain Front, Plain Back, Full Sleeves, Band Neck with Slit",Straight Kurta,The band collar on this military green piece gives this kurta a utilitarian chic feel.,"Rs.2,990.00","Rs.1,495.00",Olive,Melange,"XXS,XS,S,M,L,XL",
37,Melange Blue,"Plain Front, Plain Back, Full Sleeves, Band Neck with Slit",Straight Kurta,Moody blue melange makes for the perfect wintry kurta.,"Rs.2,990.00","Rs.1,943.50",Blue,Melange,"XXS,XS,S,M,L,XL",
38,Blackwood,"Plain Front, Plain Back, Full Sleeves, Lapel Neckline",Front Open Jacket,This minimalist black cambric jacket has long lapels and an unstructured style.,"Rs.3,990.00","Rs.1,995.00",Black,Cambric,"XS,S,M,L,XL",
39,Tropicana Beige,"Printed Front, Printed Back, Full Sleeves, Round Neckline",Straight Kurta with Side Tassels,This zesty khaddar kurta features side tassel detailing and an oriental pattern in shades of blue.,"Rs.2,790.00","Rs.1,813.50",Mustard,Khaddar,"XS,S,M,L,XL",
40,Astonished Look,"Embroidered Front, Embroidered Back, Full Sleeves, Lapel Neckline",Short Jacket,An ethnic-inspired short jacket in moody tones with a stylish emerald green lapel.,"Rs.4,490.00","Rs.2,918.50",Black,Khaddar,"XS,S,M,L,XL",
41,White Glimmer,"Embroidered Front, Plain Back, Full Sleeves with Embroidered Patti, Y Neckline",Straight Kurta,A surplice-style kurta in pale ballerina pink with elegant embroidery,"Rs.7,990.00","Rs.5,193.50",White,Box Organza,"XS,S,M,L,XL",
42,Multiline,"Printed Front, Printed Back, Full Sleeves, Y Neckline",Straight Kurta,A longline Y neck crepe kurta with a vibrant botanical pattern on a slate blue base.,"Rs.2,790.00","Rs.1,813.50",Blue,Crepe,"XXS,XS,S,M,L,XL",
43,Pink Maze,"Plain Front, Plain Back, Full Sleeves, Band Neck with Slit",Straight Kurta,This salmon pink tunic is trimmed with black and has a split band collar.,"Rs.5,990.00","Rs.2,995.00",Pink,Bember Grip,"XXS,XS,S,M,L,XL",
44,Night Lights Black,"Printed Front with Embellishment, Printed Back, Full Sleeves, Round Neckline with Slit",Straight Kurta,This embellished piece provides the perfect black backdrop to lift up vintage floral details.,"Rs.6,990.00","Rs.4,543.50",Black,Bember Grip,"XS,S,M,L,XL",
45,Black Circus,"Embroidered Front, Printed back with Embroidered Hem, Full Sleeves with Embroidered Patti, Round Neckline with Slit",2-Piece Straight Shirt with Dupatta,"Embroidery on the front and borders bedeck this bold black and crimson twill kurta, which comes with a matching shawl.","Rs.7,990.00","Rs.5,193.50",Red And Black,Twill,"XXS,XS,S,M,L,XL",Printed Shawl Color: Red And Black
