,Name,Detail,Main-Description,Sub-Description,Old-Price,New-Price,Color,Fabric,Types,All Sizes
21,Mariner C,,Tapered Fit Denim,Tapered jeans with a black wash.,"Rs.2,790.00","Rs.1,813.50",Black,Denim,,"30,32,34,36,38,40"
22,Mariner B,,Tapered Fit Denim,Navy blue denim with a sleek tapered fit.,"Rs.2,790.00","Rs.1,813.50",Navy,Denim,,"30,32,34,36,38,40,42"
23,Mariner A,,Tapered Fit Denim,Denim jeans with a tapered leg in a vintage-inspired light blue.,"Rs.2,790.00","Rs.1,813.50",Light Blue,Denim,,"30,32,34,36,38,40,42"
24,Shadow B,,Slim Fit Denim,Steely hued denim jeans with a slim fit.,"Rs.2,790.00","Rs.1,813.50",Grey,Denim,,"30,32,34,36,38,40,42"
25,Shadow A,,Slim Fit Denim,Slim fit jet-black denim for instant street style.,"Rs.2,790.00","Rs.1,813.50",Black,Denim,,"30,32,34,36,38,40"
26,Jenson B,,Regular Fit Denim,A black rinse gives this pair of regular fit jeans a rock-star edge.,"Rs.2,490.00","Rs.1,618.50",Rinse Black,Denim,,"30,32,34,36,38,40"
27,Jenson A,,Regular Fit Denim,Straight light blue denim in a regular fit.,"Rs.2,490.00","Rs.1,618.50",Light Blue,Denim,,"30,32,34,36,38,40"
28,Devon B,,Regular Fit Chinos,A classic khaki hue and pima cotton keep these regular-fit trousers looking fresh all day.,"Rs.4,490.00","Rs.2,918.50",Khaki,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
29,Wesley B,,Tapered Fit Chinos,These tapered olive green chambray trousers work equally well for the office or for a dinner party.,"Rs.3,490.00","Rs.2,268.50",Olive,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
30,Cubana C,,Slim Fit Chinos,A rich olive green hued satin and a stylish slim fit make these trousers a must-have piece.,"Rs.2,490.00","Rs.1,618.50",Olive,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40"
31,Cubano B,,Slim Fit Chinos,Slim fit navy trousers in a sumptuous satin finish.,"Rs.2,490.00","Rs.1,618.50",Navy,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40"
32,Country Club C,,Regular Fit Chinos,These satin trousers come in a versatile sandy beige hue with a regular fit.,"Rs.2,490.00","Rs.1,618.50",Beige,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40,42"
33,Country Club B,,Regular Fit Chinos,These navy satin trousers boast a classic regular fit.,"Rs.2,490.00","Rs.1,618.50",Navy,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40,42"
34,Country Club A,,Regular Fit Chinos,Luxurious ebony hued satin trousers in a regular fit.,"Rs.2,490.00","Rs.1,618.50",Black,"97% Cotton, 3% Lycra",,"30,32,34,36,38,40,42"
35,Suave C,,Slim Fit Chinos,"These dark grey cotton trousers come in our signature 'Roy' slim cut, with some lycra blended in for the perfect fit.","Rs.2,990.00","Rs.1,943.50",Dark Grey,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
36,Suave B,,Slim Fit Chinos,"These sandy-hued cotton trousers come in our signature 'Roy' slim cut, with some lycra blended in for the perfect fit.","Rs.2,990.00","Rs.1,943.50",Beige,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
37,Suave A,,Slim Fit Chinos,"These dark grey cotton trousers come in our signature 'Roy' slim cut, with some lycra blended in for the perfect fit.","Rs.2,990.00","Rs.1,943.50",Navy,"98% Cotton, 2% Lycra",,"30,32,34,36,38,40"
38,Moss,"Embroidered Front, Plain Back, Band Neck",Waist Coat,"This fine olive green waistcoat is cut from viscose linen, and features intricate embroidery.","Rs.4,490.00","Rs.2,918.50",Olive,Viscose Linen,Regular Fit,"S,M,L,XL"
39,Spring,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,Luxe 100% cotton jacquard in a blue hue with a band collar.,"Rs.2,790.00","Rs.1,813.50",Blue,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
40,Cabernet,"Plain Front with Embroidery on Shoulders & Sleeves, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,An oxblood fine herringbone kurta with tasteful embroidery on the shoulders and sleeves.,"Rs.2,490.00","Rs.1,618.50",Burgundy,100% Fine Cotton Herring Bone,"Regular Fit,Slim Fit","XS,S,M,L,XL"
41,Marble,"Plain Front with Embroidered Neckline & Placket, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This rugged smokey grey cotton khaddar piece gets added refinement from the embroidery on its neckline and placket.,"Rs.2,790.00","Rs.1,813.50",Dark Grey,100% Cotton Khaddar,"Regular Fit,Slim Fit","XS,S,M,L,XL"
42,Rosewood,"Plain Front, Plain Back, Band Neck",Waist Coat,A stylish and minimalistic silk karandi waistcoat in a rich bordeaux shade.,"Rs.5,490.00","Rs.3,568.50",Maroon,Silk Karandi,Regular Fit,"S,M,L,XL"
43,Gris,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This grey kurta comes in a luxe jacquard with a stylish band collar.,"Rs.2,790.00","Rs.1,813.50",Grey,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
44,River,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This eclectic blue printed kurta comes in 100% cotton.,"Rs.2,490.00","Rs.1,618.50",Blue,100% Cotton-Printed,"Regular Fit,Slim Fit","XS,S,M,L,XL"
45,Antique,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,This cotton jacquard kurta features a band collar and comes in a rust hue.,"Rs.2,790.00","Rs.1,813.50",Rust,100% Cotton Jacquard,"Regular Fit,Slim Fit","XS,S,M,L,XL"
46,Nightshade,"Plain Front with Embroidered Arm Hole, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"An inky black cotton kurta with embroidered details on the front and back, and a band collar.","Rs.2,790.00","Rs.1,813.50",Black,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
47,Timber,"Plain Front,  Plain Back with embroidered Yoke, Full Sleeves, Band Neckline",Straight Kurta,A woody hued 100% cotton dobby kurta featuring a band collar and embroidery on the back yoke.,"Rs.2,790.00","Rs.1,813.50",Brown,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
48,Vine,"Plain Front, Plain Back, Full Sleeves, Band Neckline",Straight Kurta,"This kurta comes in a rich bordeaux shade, and boasts a band collar.","Rs.2,990.00","Rs.1,943.50",Burgundy,100% Cotton Dobby,"Regular Fit,Slim Fit","XS,S,M,L,XL"
49,Aqua,"Plain Front, Plain Back, Band Neck",Waist Coat,This collarless blue waistcoat comes in luxe silk karandi.,"Rs.4,490.00","Rs.2,918.50",Blue,Silk Karandi,Regular Fit,"S,M,L,XL"
50,Byzantium,"Plain Front with Embroidery on Arm Hole, Plain Back, Band Neckline",Waist Coat,"An aubergine waistcoat in tropic fabric, with a band collar and stylishly placed embroidery.","Rs.4,490.00","Rs.2,918.50",Deep Purple,Tropical fabric,Regular Fit,"S,M,L,XL"
51,Cosmos,"Plain Front, Plain Back, Band Neck",Waist Coat,A classic raven-black tropical fabric piece with a minimalistic feel.,"Rs.4,490.00","Rs.2,918.50",Black,Tropical,Regular Fit,"S,M,L,XL"
52,Sahara,"Plain Front, Plain Back, Full Sleeves, Band Neckline, Plain Shalwar",2-Piece Kurta Shalwar,A classy two piece suit in sandy beige feature a kurta with a band collar and a matching bottom.,"Rs.5,990.00","Rs.3,893.50",Beige,Toyobo,Regular Fit,"XS,S,M,L,XL"
