Name,Description,Material,Color,Current Price,Old Price,Discount,Piece,Best-seller
Shirt Shalwar,Front & Back PV Printed 2.5m/Sleeve PV Print Embroidered 1.0m/Shalwar 2.5m/,Poly Viscose,Yellow,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front PV Print Embroidered 1.25m/Back & Sleeve PV Printed 2.0m/Shalwar 2.5m/,Poly Viscose,Green,PKR 2200,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Khaddar Printed 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Printed 0.5m/Cotton Square Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Beige,PKR 2000,,,3Pc,FALSE
Shirt Shalwar,Digital Printed PV Front 1.25m/Digital Printed PV Back 1.25m/Digital Printed PV Sleeve 0.5m/Shalwar 2.5m/,Poly Viscose,Green,PKR 1400,,,2Pc,FALSE
Shirt Shalwar,Front PV Print Embroidered 3.0m/Shalwar 2.5m/,Poly Viscose,Grey,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front & Back PV Printed 2.5m/Sleeve PV Print Embroidered 1.0m/Shalwar 2.5m/,Poly Viscose,Blue,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front PV Print Embroidered 1.25m/Back & Sleeve PV Printed 2.0m/Shalwar 2.5m/,Poly Viscose,Red,PKR 2200,,,2Pc,FALSE
Shirt Shalwar,Front PV Print Embroidered 1.25m/Back PV Printed 1.25m/Sleeve PV Printed 0.5m/Shalwar 2.5m/,Poly Viscose,Purple,PKR 2200,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Light Khaddar Print Embroidered 1.25m/Back Light Khaddar Printed 1.25m/Sleeve Light Khaddar Printed 0.5m/Light Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Light Khaddar,Blue,PKR 2900,,,3Pc,FALSE
Shirt Shalwar,Front PV Printed 1.25m/Back PV Printed 1.25m/Sleeve PV Print Embroidered 0.5m/Shalwar 2.5m/,Poly Viscose,Orange,PKR 2200,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Light Khaddar Print Embroidered 1.25m/Back Light Khaddar Printed 1.25m/Sleeve Light Khaddar Printed 0.5m/Light Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Light Khaddar,Green,PKR 2900,,,3Pc,FALSE
Shirt Shalwar,Front PV Printed 1.25m/Back PV Printed 1.25m/Sleeve PV Print Embroidered 0.5m/Shalwar 2.5m/,Poly Viscose,Green,PKR 2200,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Light Khaddar Print Embroidered 1.25m/Back Light Khaddar Printed 1.25m/Sleeve Light Khaddar Printed 0.5m/Light Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Light Khaddar,Blue,PKR 2900,,,3Pc,FALSE
Shirt Shalwar,Front & Back Khaddar Printed 2.5m/Sleeve Khaddar Printed 0.5m/Shalwar 2.5m/,Khaddar,Pink,PKR 1400,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Khaddar Print Embroidered 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Printed 0.5m/Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Pink,PKR 2900,,,3Pc,FALSE
Shirt Shalwar,Front & Back Khaddar Printed 2.5m/Sleeve Khaddar Printed 0.5m/Shalwar 2.5m/,Khaddar,Purple,PKR 1400,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Khaddar Printed 1.25m/Back Khaddar Print Embroidered 1.25m/Sleeve Khaddar Print Embroidered 0.5m/Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Pink,PKR 2900,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front Khaddar Printed 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Print Embroidered 0.5m/Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Orange,PKR 2900,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front Khaddar Printed 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Printed 0.5m/Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Yellow,PKR 2000,,,3Pc,TRUE
Shirt Shalwar,Front PV Print Embroidered 1.25m/Back PV Printed 1.25m/Sleeve PV Printed 0.5m/Shalwar 2.5m/,Poly Viscose,Yellow,PKR 2200,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Light Khaddar Print Embroidered 1.25m/Back Light Khaddar Printed 1.25m/Sleeve Light Khaddar Printed 0.5m/Light Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Light Khaddar,Red,PKR 2900,,,3Pc,FALSE
Shirt Shalwar,Front PV Printed 1.25m/Back PV Printed 1.25m/Sleeve PV Print Embroidered 0.5m/Shalwar 2.5m/,Poly Viscose,Off-White,PKR 2200,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Light Khaddar Print Embroidered 1.25m/Back Light Khaddar Printed 1.25m/Sleeve Light Khaddar Printed 0.5m/Light Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Light Khaddar,Beige,PKR 2900,,,3Pc,FALSE
Shirt Shalwar,Front PV Printed 1.25m/Back PV Printed 1.25m/Sleeve PV Print Embroidered 0.5m/Shalwar 2.5m/,Poly Viscose,Blue,PKR 2200,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Light Khaddar Print Embroidered 1.25m/Back Light Khaddar Printed 1.25m/Sleeve Light Khaddar Printed 0.5m/Light Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Light Khaddar,Green,PKR 2900,,,3Pc,FALSE
Shirt Shalwar,Front & Back Khaddar Printed 2.5m/Sleeve Khaddar Printed 0.5m/Shalwar 2.5m/,Khaddar,Green,PKR 1400,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Khaddar Print Embroidered 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Printed 0.5m/Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Purple,PKR 2900,,,3Pc,FALSE
Shirt Shalwar,Front & Back Khaddar Printed 2.5m/Sleeve Khaddar Printed 0.5m/Shalwar 2.5m/,Khaddar,Beige,PKR 1400,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front Khaddar Printed 1.25m/Back Khaddar Print Embroidered 1.25m/Sleeve Khaddar Print Embroidered 0.5m/Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Beige,PKR 2900,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front Khaddar Printed 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Print Embroidered 0.5m/Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Green,PKR 2900,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front Khaddar Printed 1.25m/Back Khaddar Printed 1.25m/Sleeve Khaddar Printed 0.5m/Khaddar Printed Dupatta 2.5m/Shalwar 2.5m/,Khaddar,Beige,PKR 2000,,,3Pc,TRUE
Shirt Dupatta,Khaddar Printed Shirt 3.0m/Khaddar Printed Dupatta 2.5m/,Khaddar,Beige,PKR 1500,,,2Pc,FALSE
Shirt Shawl,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.5m/Shawl 2.5m/,Khaddar,Beige,PKR 3200,,,2Pc,FALSE
Shirt Shawl,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.5m/Shawl 2.5m/,Khaddar,Purple,PKR 3200,,,2Pc,TRUE
Shirt Dupatta,Embroidered Khaddar Printed Shirt 3.0m/Khaddar Printed Dupatta 2.5m/,Karandi,Orange,PKR 2200,,,2Pc,FALSE
Shirt Dupatta,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.75m/Khaddar Printed Dupatta 2.5m/,Karandi,Grey,PKR 2200,,,2Pc,FALSE
Shirt Dupatta,Front & Back Khaddar Printed 1.25m/Sleeve Khaddar Print Embroidered 0.75m/Khaddar Printed Dupatta 2.5m/,Karandi,Blue,PKR 2200,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.5m/Printed Khaddar Dupatta 2.5m/Shalwar 2.5m/,Karandi,Orange,PKR 2900,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Print Embroidered 0.75m/Printed Khaddar Dupatta 2.5m/Shalwar 2.5m/,Karandi,Blue,PKR 2900,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Khaddar Printed 2.5m/Sleeve Khaddar Print Embroidered 1.0m/Printed Khaddar Dupatta 2.5m/Shalwar 2.5m/,Karandi,Pink,PKR 2900,,,3Pc,FALSE
Shirt Dupatta,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.75m/Khaddar Printed Dupatta 2.5m/,Karandi,Brown,PKR 2200,,,2Pc,FALSE
Shirt Dupatta,Front & Back Khaddar Printed 1.25m/Sleeve Khaddar Print Embroidered 0.75m/Khaddar Printed Dupatta 2.5m/,Karandi,Grey,PKR 2200,,,2Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Khaddar Printed 2.5m/Sleeve Khaddar Print Embroidered 0.75m/Printed Khaddar Dupatta 2.5m/Shalwar 2.5m/,Karandi,Blue,PKR 2900,,,3Pc,FALSE
Shirt Shalwar Dupatta,Front & Back Khaddar Print Embroidered 2.5m/Sleeve Khaddar Printed 0.5m/Printed Khaddar Dupatta 2.5m/Shalwar 2.5m/,Karandi,Green,PKR 2900,,,3Pc,FALSE
